term,value
skunk,скунс
horsefly,хъæрæубиндзæ
slug,æнæхъозгъæ моллюск
elephant,пил
bullfinch,сурхбун
dog,куй
sable,сибийраг сæлаур
owl,уг
jay,сойкæ
falcon,уарий
nightingale,борæмæлгъæ
catfish,локо
magpie,хъеу-хъеуагæ
pine moth,нæзий циллебийæг
steppe viper,будуйрон гадюкæ
ostrich,страус
dragonfly,туасæг
little bustard,стрепет
sand martin,къима
zander pike-perch,судак
marmot,зæнхи æхсæрсæттæг
gopher,гъолон гæлæу
horned owl,сидахъ
cockroach,таракан
tarantula,тарантул
roach,тъаран
telescopus,телескоп
calf,уæс
heifer,хъунадзин
termite,термит
blackcock,саугарк
tiger,тигр
aphid,зайæгойти систæ
bankcod,треска
eft,тритон
wagtail,борхъæстæ дзубулдар
toucan,тукан
capra,дзæбодур
jerboa,тушкан
seal,тюлен
grig,донхелагæ
anaconda,æлвасхелагæ
hoopoe,гоппой
snowcock,зумаргъ
snail,гъонцъæ
duck,бабуз
duckbill,бабузфий
the long-eared bat,гъосой
phrynocephalus mystaceus,тумбулсæр гъосой
pheasant,синдзи уасæнгæ
eagle owl,тоймон
flamingo,фламинго
trout,балир силгæ
chameleon,хамелеон
hamster,къода гæлæу
corydalis,хохлаткæ
heron,кæсалглас
pearl-hen,цецур
poult,цъеу
gull,кæсалгдзау
worm,золкъæ
tortoise,уæртгун хæпсæ
lapwing,чибис
jackal,шакал
bumblebee,гъæддаг мудибиндзæ
puppy,къæбис
gloydius,щитомордник
pike,хехуар
lamb,уæр
jaguar,ягуар
yak,як
hawk,цъеусор
lizard,æнкъуæлхæ
puppy,къæбись
