term,value,context,context value,image,pointer
fist,мустукъи,,,,
bayonet,мудзура,,,,
chestnut,мудхуз,,,,
beekeeper,мудгæс,,,,
hollow,мура,,,,
bell,мурæ,,,,
stamp,мухур,,,,
road,над,,,,
roller,наднæмæн,,,,
sail,наупæлæз,,,,
navel,наффæ,,,,
touch,нидзæвун,,,misc/touch/image1.gif,
raise,низзарун,,,misc/raise/image1.gif,
