term,value
@topic,Нымæцтæ
@author,Kazbek Byasov
zero,ноль
one,еу
two,дууæ
three,æртæ
four,цуппар
five,фондз
six,æхсæз
seven,авд
eight,аст
nine,фараст
ten,дæс
eleven,еуæндæс
twelve,дууадæс
thirteen,æртындæс
fourteen,цуппæрдæс
fifteen,фынддæс
sixteen,æхсæрдæс
seventeen,æсддæс
eighteen,æвддæс
nineteen,нудæс
twenty,инсæй
one hundred,сæдæ
one thousand,мин
one million,милуан
