term,value,context,context value,image
@topic,Бийнонтæ,,,
@author,Kazbek Byasov,,,
@author_local,Биасти Георги фурт Казбек,,,
baby,бæдолæ,,,
boy,биццеу,,,
bride,ностæ,,,
brothers,нсувæртæ,,,
children,сувæллæнтæ,,,family/children/image1.gif
daughter,кизгæ,,,
family,бийнонтæ,,,
father,фидæ,,,
girl,кизгæ,,,
grandfather,баба,,,
grandmother,нана,,,
groom,мойнаг,,,
husband,мойнæ,,,
man,лæг,,,
mother,мадæ,,,
parents,нийæргутæ,,,
son,фурт,,,
twins,фаззæттæ,,,
wife,уосæ,,,
woman,силгоймаг,,,
