term,value,context,context value,level
@topic,Les Mois,,,
@author,Kazbek Byasov,,,
april,avril,,,simple
august,août,,,simple
december,décembre,,,simple
february,février,,,simple
january,janvier,,,simple
july,juillet,,,simple
june,juin,,,simple
march,mars,,,simple
may,mai,,,simple
november,novembre,,,simple
october,octobre,,,simple
september,septembre,,,simple
