term,value,context,context value,image
@topic,People.Family,,,
@author,Kazbek Byasov,,,
baby,baby,,,
boy,boy,,,
bride,bride,,,
brothers,brothers,,,
children,children,,,family/children/image1.gif
daughter,daughter,,,
family,family,,,
father,father,,,
girl,girl,,,
grandfather,grandfather,,,
grandmother,grandmother,,,
groom,groom,,,
husband,husband,,,
man,man,,,
mother,mother,,,
parents,parents,,,
son,son,,,
twins,twins,,,
wife,wife,,,
woman,woman,,,
