term,value,context,context value,level
oregam,oregam,,,normal
palm,palm,,,simple
palmcrist,palmcrist,,,hard
parsley,parsley,,,simple
pasqueflower,pasqueflower,,,hard
patsy,patsy,,,simple
peach,peach,,,simple
pear,pear,,,simple
peas,peas,,,simple
peas mouse,peas mouse,,,hard
peony,peony,,,normal
pepper,pepper,,,simple
pepper-mint,pepper-mint,,,normal
persimmon,persimmon,,,simple
pine,pine,,,simple
plantain,plantain,,,simple
plum,plum,,,simple
pomegranate,pomegranate,,,simple
poplar,poplar,,,simple
poppy,poppy,,,normal
potato,potato,,,simple
primrose,primrose,,,hard
puffball,puffball,,,hard
pumpkin,pumpkin,,,simple
purslane,purslane,,,hard
pussy-willow,pussy-willow,,,simple
quinoa,quinoa,,,normal
radish,radish,,,simple
raspberry,raspberry,,,simple
reed,reed,,,normal
reed mace,reed mace,,,simple
rhubarb,rhubarb,,,hard
rice,rice,,,simple
rose,rose,,,simple
russule,russule,,,hard
rutabaga,rutabaga,,,hard
rye,rye,,,normal
saffron milk cap,saffron milk cap,,,hard
sage,sage,,,normal
sagitaria,sagitaria,,,hard
satan’s mushroom,satan’s mushroom,,,normal
saxaul,saxaul,,,hard
saxifrage,saxifrage,,,hard
scabies,scabies,,,hard
sea-buckthorn,sea-buckthorn,,,normal
sedge,sedge,,,normal
seed,seed,,,simple
shamrock,shamrock,,,hard
shrimp,shrimp,,,hard
silver fir,silver fir,,,normal
sloe,sloe,,,normal
smooth elm-tree,smooth elm-tree,,,normal
snowdrop,snowdrop,,,simple
sorgo,sorgo,,,normal
soy,soy,,,normal
spathiphyllum,spathiphyllum,,,hard
spatter-dock,spatter-dock,,,normal
sphagnum,sphagnum,,,hard
spruce,spruce,,,simple
spurge,spurge,,,hard
stone bramble,stone bramble,,,hard
stonecrop,stonecrop,,,hard
stratiotes-lat,stratiotes-lat,,,hard
strawberry,strawberry,,,simple
sugar beet,sugar beet,,,normal
sugar cane,sugar cane,,,normal
summer-and-winter radish,summer-and-winter radish,,,simple
sunflower,sunflower,,,simple
tamarisk,tamarisk,,,hard
tangerine,tangerine,,,simple
tansy,tansy,,,hard
thistle,thistle,,,normal
tomato,tomato,,,simple
touch-me-not,touch-me-not,,,hard
tulip,tulip,,,simple
tutsan,tutsan,,,normal
valerian,valerian,,,hard
viburnum,viburnum,,,normal
violet,violet,,,simple
viscaria vulgaris,viscaria vulgaris,,,hard
walnut,walnut,,,simple
watermelon,watermelon,,,simple
weeping willow,weeping willow,,,normal
wheat,wheat,,,simple
white boletus,white boletus,,,normal
wild leek,wild leek,,,normal
wild oats,wild oats,,,normal
willow,willow,,,simple
woodruff,woodruff,,,hard
wormwood,wormwood,,,normal
yew,yew,,,normal
