term,value,context,context value,level
@topic,Months,,,
@author,Kazbek Byasov,,,
april,april,,,simple
august,august,,,simple
december,december,,,simple
february,february,,,simple
january,january,,,simple
july,july,,,simple
june,june,,,simple
march,march,,,simple
may,may,,,simple
november,november,,,simple
october,october,,,simple
september,september,,,simple
