term,value
@topic,Хуызтæ
@author,Kazbek Byasov
red,сырх
blue,цъæх
green,цъæх
yellow,бур
pink,уардихуыз
brown,морæ
black,сау
white,урс
gray,халас
gold,зæрин
silver,æвзист
sky blue,арвхуыз
khaki,хаки
