term,value
@topic,Бинонтæ
@author,Kazbek Byasov
baby,ноггуырд
boy,лæппу
bride,усаг
brothers,фсымæр
children,сывæллæттæ
daughter,чызг
family,бинонтæ
father,фыд
girl,чызг
grandfather,баба
grandmother,нана
groom,усгур
husband,лæг
man,нæлгоймаг
mother,мад
parents,ныййарджытæ
son,фырт
twins,фаззæттæ
wife,ус
woman,сылгоймаг
