term,value
@topic,Нымæцтæ
@author,Kazbek Byasov
zero,ноль
one,иу
two,дууæ
three,æртæ
four,цыппар
five,фондз
six,æхсæз
seven,авд
eight,аст
nine,фараст
ten,дæс
eleven,иуæндæс
twelve,дууадæс
thirteen,æртындæс
fourteen,цыппæрдæс
fifteen,фынддæс
sixteen,æхсæрдæс
seventeen,æвддæс
eighteen,æсддæс
nineteen,нудæс
twenty,ссæдз
one hundred,сæдæ
one thousand,мин
one million,милуан
