term,value,context,context value,level
@topic,Хуызтæ,,,
@author,Kazbek Biasti,,,
black,сау,,,simple
blue,копрадзхуыз,,,simple
brown,морæ,,,simple
chestnut,мыдхуыз,,,
gold,зæрин,,,normal
gray,фæныкхуыз,,,simple
green,кæрдæгхуыз,,,simple
khaki,хаки,,,normal
maroon,игæрхуыз,,,normal
orange,бурбын сырх,,,simple
pink,уардихуыз,,,simple
red,сырх,,,simple
silver,æвзист,,,normal
sky blue,арвхуыз,,,simple
violet,фиолетон,,,simple
white,урс,,,simple
yellow,бур,,,simple
