term,value,context,context value,level
mink,норкæ,,,normal
mole,куырм уыры,,,normal
mole-cricket,хъугдæй,,,normal
monitor lizard,варан,,,normal
monkey,маймули,,,simple
mosquito,къогъо,,,simple
moth,рæмпæг,,,simple
mouse,мыст,,,simple
mule,хæргæфс,,,hard
nightingale,булæмæргъ,,,normal
nightjar,сæгъдуц,,,hard
northern deer,цæгатаг саг,,,hard
nuthatch,бырæг цъиу,,,hard
octopus,асткъахыг,,,normal
onager,кулан,,,normal
orangoutan,орангутанг,,,normal
oriole,бурцъиу,,,hard
ostrich,страус,,,simple
otter,уырд,,,hard
owl,уыг,,,simple
panda,пандæ,,,normal
paradise fish,макропод,,,hard
parrot,тути,,,simple
partridge,хуыргарк,,,normal
peacock,мæлхъ,,,normal
pearl-hen,цицыр,,,normal
pelican,пеликан,,,normal
penguin,пингвин,,,simple
perch,окунь,,,hard
pheasant,сындзы уасæг,,,hard
phiclides podalirius,подалири,,,hard
phrynocephalus mystaceus,тымбылсæр хъусой,,,hard
pied bushchat,уыгæрдæны чыкгæнæг,,,hard
pig,хуы,,,simple
pigeon,бæлон (хæдзарон),,,simple
piglet,хъыбыл,,,simple
pika,пищухæ,,,hard
pike,хихор,,,hard
pine moth,нæзыйы цыллæйы калм,,,hard
pink starling,мæтæгхуыз сауцъиу,,,hard
pipit,конёк,,,normal
platyfish,меченосец,,,hard
polar fox,цæгатаг рувас,,,hard
poult,цъиу,,,simple
puma,пумæ,,,normal
puppy,къæбыла,,,simple
python,питон,,,hard
quail,уæрцц,,,normal
rabbit,хæдзарон тæрхъус,,,simple
raccoon,енот,,,normal
ram,фыр,,,simple
rat,уыры,,,simple
red ramshorn snail,катушкæтæ,,,normal
red-footed falcon,кобчик,,,hard
redstart,буркъæдзил цъиу,,,hard
rhinoceros,сыкъафындз,,,normal
roach,тъаран,,,normal
rodent,æхсынæг,,,normal
roe deer,сæгуыт,,,simple
rook,цъиах,,,normal
ruddy shelduck,огар,,,hard
sable,сыбираг сæлавыр,,,hard
saiga,сайгак,,,hard
salmon,æргъай,,,hard
sand martin,чъима,,,hard
sandspiper,доны ацц,,,hard
sardine,сардинæ,,,hard
scalare,скаляри,,,hard
scorpion,къæдздым,,,normal
sea-horse,денджызон бæхтæ,,,hard
seal,тюлен,,,normal
sheep,фыс,,,simple
shrew,зæхкъах,,,normal
shrimp,креветкæтæ,,,normal
skunk,скунс,,,normal
slug,æнæхъузг моллюск,,,hard
small tortoiseshell,пысырайы гæлæбу,,,hard
snail,сæтæлæг,,,normal
snake,калм,,,simple
snipe,мæга,,,hard
snow bunting,пуночкæ,,,hard
snow leopard,фыранк,,,simple
snowcock,зым,,,normal
snowy owl,урс уыг,,,hard
sparrow,сырддонцъиу,,,hard
spider,хæлуарæг,,,simple
spiny anteater,ехиднæ,,,normal
spotted nutcracker,сыбираг халон,,,hard
squid,кальмар,,,normal
squirrel,æхсæрсæттæг,,,simple
stag beetle,хъæндил-саг,,,hard
stag deer,сæрбæрзонд саг,,,hard
stallion,уырс,,,normal
starfish,денджызон стъалытæ,,,hard
starling,саумæлгъ,,,normal
steer,уæныг,,,normal
stellate sturgeon,кæфгæсаг,,,hard
steppe fox,корсак,,,hard
steppe viper,быдырон маргджын калм,,,hard
sucking louse,сыст,,,simple
swallow,зæрватыкк,,,simple
swallowtail,махаон,,,normal
swan,доныхъаз,,,normal
tadpole,къæбулæг хъунцъ,,,hard
tarantula,тарантул,,,normal
tartar sand boa,хурыскæсæйнаг æлхъивгалм,,,hard
telescopus,телескоп,,,hard
termite,термит,,,normal
the beluga,урсгæф,,,hard
the long-eared bat,хъусой,,,hard
thrush,нæмыгхор,,,hard
thunderbird,уадфидиуæг,,,hard
tiger,тигр,,,simple
titmouse,дзывылдар,,,normal
toad,галхæфс,,,hard
tortoise,уæртджын хæфс,,,simple
toucan,тукан,,,hard
trout,балергæсаг,,,normal
turkey,сыл гогыз,,,simple
turkey-cock,нæл гогыз,,,normal
unicorn beetle,сыкъафындз хъæндил,,,hard
viper,гюрза,,,hard
vobla,воблæ,,,normal
vulture,хæдмæлхор,,,normal
wagtail,урс дзывылдар,,,hard
walrus,морж,,,hard
wasp,дыдынбындз,,,normal
water strider,донбарджытæ,,,hard
weasel,тæхсæл,,,normal
