term,value,context,context value,level
phrynocephalus mystaceus,ушастая круглоголовка,,,hard
pied bushchat,луговой чекан,,,hard
pig,свинья,,,simple
pigeon,голубь,,,simple
piglet,поросёнок,,,simple
pika,пищуха,,,hard
pike,щука,,,hard
pine moth,сосновый шелкопряд,,,hard
pink starling,розовый скворец,,,hard
pipit,конёк,,,normal
platyfish,меченосец,,,hard
polar fox,песец,,,hard
poult,цыплёнок,,,simple
puma,пума,,,normal
puppy,щенок,,,simple
python,питон,,,hard
quail,перепел,,,normal
rabbit,кролик,,,simple
raccoon,енот,,,normal
ram,баран,,,simple
rat,крыса,,,simple
red ramshorn snail,катушки,,,normal
red-footed falcon,кобчик,,,hard
redstart,горихвостка,,,hard
rhinoceros,носорог,,,normal
roach,тарань,,,normal
rodent,грызун,,,normal
roe deer,косуля,,,simple
rook,грач,,,normal
ruddy shelduck,огарь,,,hard
sable,соболь,,,hard
saiga,сайгак,,,hard
salmon,лосось,,,hard
sand martin,стриж,,,hard
sandspiper,кулик,,,hard
sardine,сардина,,,hard
scalare,скалярий,,,hard
scorpion,скорпион,,,normal
sea-horse,морские коньки,,,hard
seal,тюлень,,,normal
sheep,овца,,,simple
shrew,землеройка,,,normal
shrimp,креветки,,,normal
skunk,скунс,,,normal
slug,слизень,,,hard
small tortoiseshell,крапивница,,,hard
snail,улитка,,,normal
snake,змея,,,simple
snipe,бекас,,,hard
snow bunting,пуночка,,,hard
snow leopard,барс,,,simple
snowcock,улар (горные индейки),,,normal
snowy owl,белая сова,,,hard
sparrow,воробей,,,hard
spider,паук,,,simple
spiny anteater,ехидна,,,normal
spotted nutcracker,кедровка,,,hard
squid,кальмар,,,normal
squirrel,белка,,,simple
stag beetle,жук-олень,,,hard
stag deer,благородный олень,,,hard
stallion,жеребец,,,normal
starfish,морские звёзды,,,hard
starling,скворец,,,normal
steer,бычок,,,normal
stellate sturgeon,севрюга,,,hard
steppe fox,корсак,,,hard
steppe viper,степная гадюка,,,hard
sucking louse,вошь,,,simple
swallow,ласточка,,,simple
swallowtail,махаон,,,normal
swan,лебедь,,,normal
tadpole,головастик,,,hard
tarantula,тарантул,,,normal
tartar sand boa,восточный удавчик,,,hard
telescopus,телескоп,,,hard
termite,термит,,,normal
the beluga,белуга,,,hard
the long-eared bat,ушан,,,hard
thrush,дрозд,,,hard
thunderbird,буревестник,,,hard
tiger,тигр,,,simple
titmouse,синица,,,normal
toad,жаба,,,hard
tortoise,черепаха,,,simple
toucan,тукан,,,hard
trout,форель,,,normal
turkey,индейка,,,simple
turkey-cock,индюк,,,normal
