term,value
@topic,Рептилии
@author,Kazbek Byasov
asp,аспид
monitor lizard,варан
tartar sand boa,восточный удавчик
weather loach misgurnus,вьюн
adder,уж
tadpole,головастик
great crested newt,гребенчатый тритон
viper,гюрза
toad,жаба
cobra,кобра
crocodile,крокодил
frog,лягушка
python,питон
steppe viper,степная гадюка
eft,тритон
grig,угорь
anaconda,удав
phrynocephalus mystaceus,ушастая круглоголовка
chameleon,хамелеон
tortoise,черепаха
gloydius,щитомордник
lizard,ящерица
