term,value
@topic,Движения
@author,Kazbek Byasov
amble,иноходь
bounce,отскакивать
bump,толкать
dart,метать
dance,танцевать
jog,бежать трусцой
laugh,смеяться
limp,хромать
lope,скакать
roll,катиться
run,бегать
saunter,прогуливаться
scamper,убегать
scurry,беготня
spin,вращаться
stagger,шататься
strut,гордая поступь
swagger,чванство
sway,качаться
tiptoe,идти на цыпочках
traipse,тащиться
walk,ходить
work,работать
